Settlement Name,Project Type,Project Status,Completion Percentage,Start Date,End Date,Project Budget (KES),Infrastructure Level,Population Density,Growth Rate,Need New Infrastructure
Lamu,School,Completed,100,2019-01-02,2019-10-16,77000000,Medium,High,Stable,0
Meru,Bridge,In Progress,39,2021-10-01,2021-11-07,38000000,High,Medium,Rapid,0
Mandera,Market,Not Started,0,,,31000000,Low,Medium,Slow,0
Voi,Water,Completed,100,2019-01-02,2020-02-05,85000000,Low,Low,Rapid,0
Nyeri,School,Delayed,3,2022-03-13,2023-05-23,22000000,High,Medium,Slow,0
Wajir,Road,Not Started,0,,,2000000,Low,Low,Stable,0
Nairobi,School,Completed,100,2019-02-11,2019-06-27,4000000,Low,Low,Stable,0
Naivasha,Road,Delayed,1,2022-07-25,2023-11-06,17000000,Medium,High,Stable,0
Kakamega,Water,Completed,100,2019-11-13,2020-10-30,12000000,Low,Medium,Slow,0
Mombasa,Water,In Progress,14,2022-06-02,2024-02-08,50000000,Medium,Medium,Slow,0
Kitale,Bridge,Completed,100,2018-03-02,2019-01-22,18000000,Medium,High,Stable,0
Nakuru,Hospital,Delayed,69,2022-09-11,2024-01-25,94000000,High,Medium,Stable,0
Machakos,Electricity,Completed,100,2018-01-28,2018-08-10,72000000,Medium,Medium,Stable,0
Kakamega,Electricity,In Progress,35,2022-01-27,2023-02-25,14000000,Medium,Medium,Rapid,0
Kisumu,Road,In Progress,6,2021-08-24,2022-02-19,79000000,High,Low,Slow,0
Isiolo,Bridge,In Progress,30,2021-02-09,2022-06-07,43000000,High,Low,Stable,0
Naivasha,Electricity,Delayed,78,2021-06-19,2021-12-23,27000000,High,Medium,Stable,0
Naivasha,Market,In Progress,10,2022-11-05,2024-05-24,58000000,Medium,Low,Stable,0
Nakuru,Road,Completed,100,2019-12-25,2021-03-01,90000000,High,Low,Rapid,0
Machakos,Market,Delayed,63,2022-08-09,2023-11-06,31000000,Medium,High,Rapid,0
Narok,Water,Completed,100,2019-07-11,2019-11-15,100000000,Low,High,Slow,0
Kisumu,Bridge,Delayed,32,2021-03-30,2021-10-13,99000000,Medium,Low,Slow,0
Malindi,School,Delayed,38,2022-01-28,2022-11-29,16000000,High,Medium,Rapid,0
Lamu,Road,Completed,100,2020-07-11,2020-12-06,88000000,Low,High,Slow,0
Kakamega,Electricity,Delayed,25,2021-10-31,2022-11-09,13000000,High,Medium,Slow,0
Thika,Water,Delayed,2,2022-01-08,2022-09-10,93000000,Low,Low,Rapid,0
Nakuru,Electricity,Not Started,0,,,24000000,High,High,Slow,0
Lamu,Market,Completed,100,2018-02-05,2018-06-10,97000000,Low,High,Stable,0
Kericho,Market,Delayed,19,2022-11-21,2023-04-15,8000000,Low,Low,Rapid,0
Marsabit,Electricity,Not Started,0,,,36000000,Medium,High,Rapid,0
Malindi,Electricity,Delayed,52,2022-05-06,2023-04-24,93000000,High,High,Stable,0
Lodwar,Water,Not Started,0,,,60000000,Medium,Medium,Stable,0
Garissa,School,In Progress,11,2021-04-28,2022-06-19,19000000,High,High,Rapid,0
Mombasa,Road,In Progress,17,2022-05-16,2022-12-15,40000000,Medium,Low,Stable,0
Machakos,Market,In Progress,64,2022-10-16,2024-01-19,60000000,Medium,High,Slow,0
Isiolo,Electricity,Not Started,0,,,3000000,High,Low,Stable,0
Garissa,Road,In Progress,7,2022-05-29,2022-08-23,88000000,Medium,High,Stable,0
Nyeri,Road,Delayed,38,2021-03-26,2021-06-26,68000000,Low,High,Slow,0
Kisumu,Electricity,Not Started,0,,,23000000,Medium,Low,Stable,0
Naivasha,School,Completed,100,2020-11-18,2021-09-19,50000000,Medium,Medium,Slow,0
Lodwar,Market,Not Started,0,,,75000000,Medium,Low,Stable,0
Lamu,Road,Delayed,78,2022-05-11,2023-07-26,61000000,Low,High,Rapid,0
Kericho,Bridge,In Progress,4,2022-09-01,2023-05-15,51000000,High,High,Stable,0
Thika,Electricity,In Progress,85,2021-04-08,2022-05-23,17000000,Low,Medium,Slow,0
Lamu,Bridge,Delayed,56,2022-05-14,2024-03-03,34000000,Low,Low,Rapid,0
Voi,Road,Not Started,0,,,20000000,Low,Low,Stable,0
Isiolo,Water,In Progress,75,2022-04-27,2023-10-22,55000000,Medium,Medium,Rapid,0
Embu,Water,In Progress,24,2022-08-16,2023-03-26,31000000,Low,Medium,Slow,0
Nyeri,Hospital,In Progress,52,2022-08-01,2024-05-06,92000000,Low,High,Stable,0
Lamu,Bridge,Completed,100,2018-04-25,2019-04-04,97000000,Medium,Medium,Slow,0
Embu,Electricity,Not Started,0,,,50000000,Low,High,Stable,0
Kisumu,Hospital,Delayed,59,2022-09-16,2024-02-22,10000000,Medium,High,Rapid,0
Isiolo,Market,Completed,100,2018-09-28,2019-09-28,76000000,Medium,Low,Stable,0
Garissa,Road,Not Started,0,,,32000000,High,Low,Slow,0
Kisumu,Road,Not Started,0,,,18000000,Low,Low,Stable,0
Narok,School,Completed,100,2018-09-26,2019-10-08,74000000,High,Medium,Rapid,0
Mandera,Water,Delayed,35,2021-03-24,2022-09-05,21000000,High,High,Slow,0
Lodwar,Electricity,Delayed,65,2022-01-06,2023-08-14,51000000,Medium,Low,Slow,0
Wajir,Road,Not Started,0,,,84000000,High,Low,Rapid,0
Eldoret,Water,In Progress,35,2022-10-04,2023-07-31,12000000,High,High,Rapid,0
Kakamega,Market,Completed,100,2019-01-05,2020-02-21,77000000,High,Low,Slow,0
Isiolo,Hospital,Completed,100,2020-07-25,2021-08-19,82000000,High,High,Rapid,0
Thika,School,In Progress,24,2021-10-16,2023-01-25,49000000,Low,Medium,Stable,0
Lodwar,Market,Completed,100,2019-09-03,2020-04-23,78000000,Medium,Low,Slow,0
Lodwar,Hospital,In Progress,78,2022-09-07,2024-03-05,15000000,Low,Medium,Stable,0
Voi,Bridge,In Progress,57,2022-06-30,2022-10-08,61000000,Medium,Low,Slow,0
Malindi,School,Not Started,0,,,1000000,Low,Medium,Slow,0
Lamu,Bridge,In Progress,82,2022-03-14,2023-12-22,96000000,Low,High,Stable,0
Isiolo,Market,Not Started,0,,,8000000,Medium,Low,Rapid,0
Nyeri,Electricity,Not Started,0,,,51000000,Low,Medium,Rapid,0
Wajir,Bridge,Not Started,0,,,84000000,High,Medium,Slow,0
Lodwar,Electricity,Not Started,0,,,91000000,High,Low,Stable,0
Lamu,Water,In Progress,18,2022-07-19,2023-12-16,94000000,Low,High,Rapid,1
Mandera,School,In Progress,63,2021-01-25,2022-08-26,74000000,Medium,Medium,Stable,0
Kisumu,Bridge,Completed,100,2020-10-23,2021-10-08,51000000,High,High,Slow,0
Nakuru,Electricity,Not Started,0,,,24000000,Low,Low,Rapid,0
Kitale,Electricity,Completed,100,2018-07-12,2019-08-27,46000000,Low,Medium,Slow,0
Mandera,Hospital,Not Started,0,,,8000000,Medium,High,Slow,0
Meru,Hospital,In Progress,55,2021-09-17,2022-10-13,19000000,Medium,High,Slow,0
Voi,Bridge,Completed,100,2020-10-26,2021-04-20,59000000,High,Medium,Slow,0
Nakuru,Electricity,Completed,100,2020-02-29,2020-10-31,61000000,High,High,Slow,0
Mombasa,Road,Completed,100,2019-02-07,2019-08-10,49000000,Low,Medium,Stable,0
Wajir,School,Delayed,80,2022-07-13,2023-10-09,89000000,Low,High,Rapid,0
Marsabit,Electricity,Completed,100,2019-07-01,2020-04-05,67000000,Low,Low,Stable,0
Voi,Road,Completed,100,2019-06-02,2020-06-20,10000000,Medium,Low,Rapid,0
Kakamega,Hospital,Not Started,0,,,21000000,Low,Low,Rapid,0
Wajir,Market,In Progress,15,2021-04-17,2022-08-11,87000000,High,Low,Stable,0
Machakos,Bridge,Completed,100,2020-08-30,2021-01-04,69000000,Low,Medium,Slow,0
Eldoret,Electricity,Completed,100,2019-10-12,2020-04-09,84000000,Medium,High,Slow,0
Malindi,Bridge,In Progress,34,2021-07-13,2022-02-06,50000000,Low,High,Stable,0
Kisumu,School,Completed,100,2018-05-14,2018-12-04,79000000,Medium,High,Rapid,0
Nyeri,Hospital,Completed,100,2020-03-25,2021-04-12,41000000,Low,Low,Slow,0
Lodwar,Water,Delayed,55,2021-04-01,2021-05-03,92000000,Low,High,Slow,0
Marsabit,School,Completed,100,2019-07-30,2020-05-13,55000000,High,Low,Slow,0
Kericho,Market,In Progress,10,2021-09-09,2022-05-15,90000000,High,High,Stable,0
Voi,Market,Not Started,0,,,51000000,Medium,High,Stable,0
Naivasha,Market,Completed,100,2020-04-03,2020-08-05,70000000,High,Medium,Stable,0
Isiolo,Bridge,Not Started,0,,,33000000,Low,Low,Rapid,0
Lamu,Hospital,Not Started,0,,,51000000,Medium,Medium,Slow,0
Kitale,Hospital,Delayed,90,2022-07-07,2022-12-06,85000000,High,High,Rapid,0
Kitale,Water,Delayed,8,2021-04-09,2022-06-12,13000000,High,Medium,Slow,0
Marsabit,Water,Not Started,0,,,11000000,Medium,Medium,Stable,0
Narok,Hospital,Not Started,0,,,6000000,Medium,Medium,Stable,0
Thika,Electricity,In Progress,15,2021-03-05,2022-07-17,15000000,Low,Medium,Rapid,0
Narok,Electricity,Delayed,52,2022-02-24,2023-10-04,40000000,Low,High,Stable,0
Kericho,School,Delayed,35,2022-11-12,2023-03-29,11000000,High,High,Stable,0
Lodwar,Road,Not Started,0,,,94000000,Low,Low,Rapid,0
Kakamega,Bridge,Delayed,75,2022-04-03,2022-12-02,20000000,Low,High,Slow,0
Meru,Road,Not Started,0,,,62000000,Low,Low,Slow,0
Lodwar,School,In Progress,44,2022-11-06,2022-12-07,7000000,Low,Low,Slow,0
Naivasha,Market,Completed,100,2018-08-09,2018-12-11,76000000,High,Low,Rapid,0
Nairobi,Market,Not Started,0,,,74000000,Low,High,Slow,0
Nyeri,Bridge,In Progress,77,2021-01-28,2021-08-15,5000000,Medium,Medium,Stable,0
Wajir,Hospital,In Progress,60,2022-12-18,2024-01-06,5000000,High,Low,Stable,0
Thika,Water,In Progress,67,2022-03-31,2023-10-10,12000000,High,Low,Stable,0
Meru,Hospital,Not Started,0,,,80000000,Low,Medium,Slow,0
Eldoret,School,In Progress,39,2021-08-07,2021-11-27,71000000,High,High,Rapid,0
Thika,Road,Delayed,47,2022-07-30,2022-10-15,93000000,Low,High,Stable,0
Nyeri,Water,Completed,100,2018-04-04,2018-10-26,73000000,Medium,High,Stable,0
Nakuru,School,Delayed,78,2021-06-05,2021-09-10,39000000,High,Medium,Rapid,0
Eldoret,School,Not Started,0,,,4000000,Medium,Low,Rapid,0
Kericho,School,Delayed,24,2022-03-29,2023-05-13,31000000,Low,Medium,Slow,0
Nakuru,Hospital,Not Started,0,,,40000000,Medium,Low,Stable,0
Lamu,Market,In Progress,31,2021-05-24,2022-02-10,30000000,Low,High,Slow,0
Embu,Market,Not Started,0,,,73000000,Low,High,Stable,0
Lodwar,Road,Not Started,0,,,15000000,High,Low,Slow,0
Voi,Bridge,Completed,100,2019-08-20,2020-02-14,2000000,Low,High,Slow,0
Wajir,Market,In Progress,15,2022-04-16,2022-06-19,67000000,Low,High,Rapid,1
Machakos,Bridge,In Progress,23,2021-10-12,2022-10-01,45000000,High,Medium,Rapid,0
Eldoret,Electricity,Completed,100,2018-10-23,2019-11-09,94000000,High,Low,Stable,0
Meru,Electricity,Not Started,0,,,18000000,Medium,High,Rapid,0
Naivasha,Hospital,Delayed,6,2021-05-06,2021-07-04,82000000,Medium,High,Rapid,0
Lamu,Road,In Progress,81,2022-03-05,2023-06-10,58000000,Medium,High,Rapid,0
Lodwar,Hospital,Completed,100,2020-02-19,2021-01-22,47000000,Medium,High,Stable,0
Kisumu,Hospital,In Progress,77,2021-05-26,2021-11-09,95000000,Medium,Medium,Rapid,0
Voi,Hospital,In Progress,35,2021-10-19,2022-08-23,32000000,Low,High,Slow,0
Lamu,Bridge,Not Started,0,,,99000000,High,High,Slow,0
Isiolo,Road,Delayed,44,2021-05-18,2023-02-17,88000000,Low,High,Stable,0
Wajir,Hospital,Not Started,0,,,19000000,Medium,High,Slow,0
Machakos,Road,Completed,100,2020-10-06,2021-04-25,14000000,Low,Medium,Stable,0
Machakos,Hospital,In Progress,29,2022-04-12,2023-01-15,52000000,High,High,Rapid,0
Isiolo,Bridge,Delayed,43,2021-10-26,2023-05-13,27000000,High,High,Rapid,0
Nakuru,Water,Not Started,0,,,69000000,High,Medium,Slow,0
Embu,Bridge,In Progress,27,2021-02-07,2022-04-18,42000000,Low,Low,Stable,0
Lamu,Water,Not Started,0,,,4000000,Medium,Medium,Slow,0
Nairobi,Bridge,Delayed,74,2021-04-30,2022-01-25,56000000,Medium,Low,Slow,0
Eldoret,Hospital,Completed,100,2018-04-30,2019-02-15,76000000,Low,Medium,Rapid,0
Isiolo,Road,Not Started,0,,,4000000,Medium,Medium,Slow,0
Lodwar,Market,Completed,100,2019-06-24,2020-04-20,32000000,High,High,Rapid,0
Nakuru,School,Not Started,0,,,72000000,High,Low,Stable,0
Narok,Hospital,Delayed,31,2021-11-03,2022-11-02,41000000,Low,Medium,Slow,0
Machakos,Bridge,Delayed,56,2021-12-05,2022-10-07,10000000,Medium,Medium,Rapid,0
Kisumu,Road,In Progress,3,2021-03-16,2021-11-07,71000000,Low,Medium,Slow,0
Marsabit,Hospital,Not Started,0,,,67000000,High,Low,Rapid,0
Machakos,Market,Delayed,3,2021-05-22,2022-07-07,35000000,Low,Low,Stable,0
Voi,Market,In Progress,47,2022-01-26,2022-12-19,98000000,Low,Medium,Slow,0
Lamu,Electricity,Not Started,0,,,10000000,Medium,High,Rapid,0
Nakuru,Water,Completed,100,2020-10-22,2021-03-04,72000000,Low,High,Rapid,0
Kitale,School,Not Started,0,,,90000000,High,Medium,Rapid,0
Marsabit,Road,Not Started,0,,,95000000,Medium,Low,Stable,0
Marsabit,Market,Completed,100,2018-11-06,2019-04-05,91000000,Medium,Low,Rapid,0
Nakuru,School,Completed,100,2020-08-27,2021-05-02,82000000,High,High,Rapid,0
Mombasa,Bridge,Completed,100,2018-03-01,2018-12-08,37000000,Low,Medium,Slow,0
Nakuru,Market,Completed,100,2020-11-18,2021-11-11,85000000,High,Medium,Stable,0
Embu,Bridge,Not Started,0,,,89000000,Medium,Medium,Stable,0
Nairobi,Water,Completed,100,2019-06-08,2019-11-11,54000000,Low,Low,Rapid,0
Kericho,Market,In Progress,67,2021-01-06,2021-12-25,55000000,Low,Medium,Rapid,0
Kakamega,Market,Not Started,0,,,10000000,High,Medium,Stable,0
Nairobi,Hospital,In Progress,86,2022-12-20,2023-11-12,79000000,Medium,Medium,Rapid,0
Nyeri,School,Delayed,31,2022-06-20,2023-06-06,85000000,Low,Medium,Stable,0
Mandera,Bridge,Completed,100,2019-04-23,2020-05-31,99000000,High,High,Rapid,0
Kakamega,Market,In Progress,67,2022-10-15,2024-05-09,92000000,High,Low,Rapid,0
Nyeri,Market,Delayed,59,2021-07-18,2023-06-04,39000000,Medium,High,Rapid,0
Naivasha,Hospital,Not Started,0,,,27000000,Medium,High,Slow,0
Nairobi,Bridge,Not Started,0,,,71000000,Medium,Medium,Stable,0
Mandera,Market,Delayed,9,2021-05-29,2022-11-03,71000000,High,High,Stable,0
Mandera,Hospital,Completed,100,2019-07-27,2020-09-02,33000000,Low,High,Slow,0
Thika,Market,Delayed,25,2021-01-17,2022-06-25,93000000,High,Low,Slow,0
Mandera,Market,In Progress,43,2022-09-29,2024-07-26,50000000,High,Medium,Slow,0
Kitale,Road,Completed,100,2020-01-31,2021-02-12,52000000,High,Medium,Slow,0
Kericho,School,Not Started,0,,,36000000,Low,Low,Stable,0
Garissa,Bridge,Delayed,12,2021-09-04,2023-07-08,1000000,High,High,Rapid,0
Isiolo,Bridge,Not Started,0,,,95000000,High,High,Slow,0
Malindi,Bridge,Not Started,0,,,39000000,Medium,Low,Rapid,0
Kakamega,Electricity,Delayed,41,2021-01-29,2022-12-14,57000000,Low,Medium,Rapid,0
Kitale,Water,Not Started,0,,,67000000,Low,Low,Slow,0
Mombasa,Electricity,Not Started,0,,,94000000,High,Low,Rapid,0
Marsabit,Water,In Progress,8,2022-08-22,2023-11-30,67000000,High,High,Slow,0
Nakuru,School,Completed,100,2018-11-24,2019-10-22,4000000,Low,Low,Slow,0
Kisumu,Bridge,Completed,100,2019-11-16,2020-09-28,72000000,High,Medium,Slow,0
Mombasa,Hospital,Completed,100,2019-12-09,2020-09-12,31000000,Low,High,Stable,0
Voi,Water,Not Started,0,,,14000000,Low,Low,Rapid,0
Naivasha,Bridge,Completed,100,2018-01-26,2018-07-06,63000000,High,Medium,Rapid,0
Mandera,Market,In Progress,66,2021-11-24,2023-01-15,94000000,Low,Low,Stable,0
Kitale,Water,Not Started,0,,,85000000,High,Medium,Stable,0
Isiolo,Water,Completed,100,2019-11-02,2020-06-23,86000000,Medium,High,Rapid,0
Lodwar,School,Delayed,35,2022-09-15,2023-04-18,55000000,Low,Medium,Rapid,0
Eldoret,Hospital,Delayed,21,2021-09-29,2021-12-06,22000000,Medium,Medium,Slow,0
Lodwar,Electricity,Delayed,47,2021-08-04,2023-03-13,13000000,Low,High,Slow,0
Mombasa,Hospital,In Progress,14,2021-11-30,2022-08-21,1000000,Low,Low,Slow,0
Narok,School,Delayed,23,2022-01-11,2022-09-23,89000000,High,High,Slow,0
Eldoret,Water,Not Started,0,,,23000000,High,High,Stable,0
Machakos,Electricity,In Progress,59,2022-04-03,2023-08-25,4000000,Medium,Low,Stable,0
Isiolo,Electricity,Not Started,0,,,13000000,High,Low,Slow,0
Thika,Road,Completed,100,2019-06-18,2020-05-08,40000000,Medium,High,Rapid,0
Meru,Water,In Progress,5,2022-06-03,2023-01-26,20000000,High,Low,Stable,0
Kericho,Electricity,Not Started,0,,,51000000,Medium,Medium,Slow,0
Lodwar,Bridge,Not Started,0,,,86000000,Low,High,Slow,0
Wajir,Road,In Progress,59,2022-04-24,2024-02-24,48000000,Medium,High,Slow,0
Wajir,Bridge,Not Started,0,,,34000000,High,Medium,Slow,0
Narok,Water,In Progress,15,2021-03-25,2022-03-10,61000000,High,High,Slow,0
Malindi,School,Not Started,0,,,33000000,Low,Low,Slow,0
Kitale,School,Delayed,77,2021-05-18,2021-09-19,1000000,Low,High,Slow,0
Kericho,Road,Delayed,40,2021-07-22,2022-01-27,10000000,Low,High,Rapid,1
Mandera,School,Completed,100,2020-10-16,2021-06-25,30000000,Low,Medium,Stable,0
Kisumu,School,Completed,100,2019-08-30,2020-03-26,68000000,Low,High,Slow,0
Eldoret,Electricity,Delayed,17,2021-12-03,2022-07-23,13000000,High,Medium,Rapid,0
Kakamega,Bridge,Not Started,0,,,16000000,Medium,High,Rapid,0
Voi,Hospital,In Progress,3,2022-02-21,2022-08-15,8000000,High,Low,Stable,0
Naivasha,Hospital,Completed,100,2018-04-24,2018-11-05,45000000,High,Low,Slow,0
Nyeri,Water,Delayed,96,2022-06-16,2023-02-17,1000000,Low,High,Rapid,0
Nyeri,Water,Not Started,0,,,97000000,High,High,Slow,0
Kericho,Water,In Progress,33,2022-01-05,2022-03-23,35000000,Medium,Low,Stable,0
Embu,Electricity,Not Started,0,,,47000000,Low,Low,Slow,0
Eldoret,Electricity,Completed,100,2018-12-28,2019-05-24,73000000,Low,High,Slow,0
Nakuru,Hospital,Delayed,89,2021-10-24,2022-10-29,46000000,High,Medium,Slow,0
Garissa,Hospital,Delayed,75,2021-03-11,2022-06-10,88000000,Low,Medium,Slow,0
Kisumu,Water,Not Started,0,,,26000000,Medium,Medium,Stable,0
Machakos,Road,Delayed,97,2022-04-26,2022-06-01,1000000,High,Low,Rapid,0
Kakamega,Hospital,Delayed,42,2021-11-04,2022-02-19,3000000,Medium,Low,Stable,0
Wajir,Bridge,In Progress,51,2021-10-11,2023-01-25,14000000,Low,Low,Slow,0
Kakamega,Hospital,In Progress,95,2022-07-30,2024-04-23,79000000,High,High,Slow,0
Eldoret,Bridge,Delayed,8,2021-09-22,2023-07-22,59000000,High,High,Stable,0
Eldoret,Road,Delayed,53,2021-01-04,2022-07-16,79000000,High,Low,Rapid,0
Malindi,Hospital,Delayed,45,2022-04-14,2022-11-02,89000000,High,Medium,Rapid,0
Nyeri,Bridge,Delayed,61,2022-11-23,2023-08-31,5000000,Medium,Medium,Slow,0
Malindi,Hospital,Delayed,9,2022-09-13,2023-05-05,88000000,High,High,Stable,0
Narok,Road,Completed,100,2018-08-18,2019-07-13,15000000,Medium,High,Stable,0
Lodwar,Hospital,Delayed,21,2022-02-20,2023-12-13,3000000,Medium,High,Slow,0
Narok,Bridge,Not Started,0,,,60000000,High,Low,Stable,0
Lodwar,Bridge,Delayed,4,2022-02-13,2022-04-02,78000000,Medium,High,Rapid,0
Lodwar,Electricity,Delayed,19,2021-12-16,2023-08-15,42000000,Low,Low,Stable,0
Mombasa,Hospital,Completed,100,2020-09-26,2021-08-20,76000000,Medium,Low,Stable,0
Machakos,Road,Completed,100,2018-09-24,2019-03-05,17000000,Medium,Medium,Rapid,0
Voi,School,Not Started,0,,,25000000,Medium,High,Slow,0
Lodwar,Bridge,Completed,100,2020-08-21,2021-01-10,12000000,High,Low,Stable,0
Marsabit,School,Not Started,0,,,19000000,Low,High,Stable,0
Machakos,Electricity,Delayed,40,2022-10-26,2023-04-05,68000000,Low,Low,Rapid,0
Machakos,School,Completed,100,2019-11-28,2020-04-01,33000000,Low,High,Rapid,0
Voi,Market,Not Started,0,,,6000000,High,High,Slow,0
Eldoret,Electricity,In Progress,44,2021-01-15,2021-06-12,71000000,Medium,High,Rapid,0
Kericho,School,Completed,100,2019-04-16,2020-07-27,92000000,Low,Low,Slow,0
Lodwar,Water,In Progress,15,2022-11-19,2024-07-10,17000000,Medium,Low,Rapid,0
Kericho,School,Not Started,0,,,94000000,High,High,Slow,0
Lodwar,Water,Not Started,0,,,5000000,High,Low,Stable,0
Kitale,Road,Delayed,51,2021-11-20,2023-03-09,20000000,Low,High,Stable,0
Kisumu,Bridge,Delayed,82,2022-01-04,2023-11-07,40000000,Low,Low,Rapid,0
Nakuru,Water,Completed,100,2020-10-06,2021-11-23,40000000,Medium,Low,Stable,0
Nyeri,Water,Not Started,0,,,38000000,Medium,High,Rapid,0
Kitale,Road,Completed,100,2018-09-18,2019-03-08,51000000,High,Low,Slow,0
Kitale,Bridge,Completed,100,2019-05-09,2020-08-20,58000000,Medium,Medium,Rapid,0
Kakamega,Road,In Progress,76,2021-10-21,2022-10-27,90000000,Low,Medium,Slow,0
Lamu,School,Delayed,19,2022-12-25,2024-01-15,54000000,High,Low,Stable,0
Embu,Electricity,Not Started,0,,,19000000,Medium,High,Rapid,0
Kakamega,Water,In Progress,9,2021-06-13,2022-06-08,2000000,High,Low,Rapid,0
Thika,Bridge,Not Started,0,,,7000000,High,Low,Stable,0
Marsabit,Road,Delayed,64,2021-02-15,2022-09-09,12000000,High,High,Slow,0
Embu,Electricity,In Progress,46,2022-08-08,2023-03-23,32000000,Medium,High,Stable,0
Isiolo,Water,Completed,100,2018-06-13,2019-05-26,82000000,Low,High,Slow,0
Nyeri,Hospital,Completed,100,2018-03-12,2019-02-15,73000000,High,High,Stable,0
Isiolo,Water,Not Started,0,,,27000000,Medium,High,Rapid,0
Marsabit,School,In Progress,39,2021-07-18,2022-08-21,36000000,High,Low,Rapid,0
Kericho,Market,Delayed,75,2021-08-16,2022-05-07,2000000,High,High,Stable,0
Eldoret,Bridge,Completed,100,2020-07-14,2021-02-08,95000000,Medium,High,Rapid,0
Mombasa,Road,In Progress,94,2021-11-01,2023-02-20,14000000,High,Low,Stable,0
Nyeri,Road,Not Started,0,,,35000000,High,High,Stable,0
Kisumu,Market,Delayed,77,2021-02-27,2021-07-04,1000000,Medium,Low,Stable,0
Marsabit,Road,Completed,100,2020-01-14,2020-07-09,15000000,Medium,High,Slow,0
Malindi,Hospital,Not Started,0,,,96000000,High,Medium,Stable,0
Thika,Electricity,In Progress,50,2021-07-13,2022-12-08,65000000,Medium,High,Rapid,0
Mandera,School,Delayed,36,2021-02-21,2021-08-22,27000000,High,Low,Slow,0
Kakamega,Hospital,In Progress,42,2022-11-06,2023-08-20,80000000,Low,Low,Slow,0
Lamu,Road,Not Started,0,,,11000000,High,Low,Stable,0
Wajir,Water,Delayed,60,2021-04-02,2021-06-25,34000000,Low,High,Stable,0
Nairobi,Water,Completed,100,2020-04-11,2020-12-30,24000000,High,Medium,Stable,0
Nakuru,Hospital,Completed,100,2020-08-15,2021-11-03,52000000,High,High,Stable,0
Kericho,Electricity,Delayed,62,2022-03-13,2022-09-21,18000000,Medium,Medium,Rapid,0
Voi,School,Not Started,0,,,61000000,Medium,High,Slow,0
Kericho,Electricity,Not Started,0,,,66000000,High,Medium,Rapid,0
Lodwar,Water,Not Started,0,,,77000000,Low,High,Rapid,1
Machakos,Market,In Progress,73,2022-04-03,2023-12-15,58000000,Medium,High,Stable,0
Lodwar,Bridge,In Progress,49,2021-12-19,2023-04-08,96000000,High,Low,Stable,0
Nyeri,School,Not Started,0,,,68000000,Low,High,Stable,0
Voi,Electricity,Not Started,0,,,25000000,High,High,Rapid,0
Garissa,Electricity,In Progress,43,2022-09-10,2023-08-13,19000000,High,Low,Slow,0
Nairobi,Bridge,In Progress,31,2022-04-08,2024-01-23,34000000,Low,Low,Stable,0
Isiolo,Water,Not Started,0,,,17000000,Low,High,Stable,0
Thika,School,Not Started,0,,,29000000,Medium,Medium,Stable,0
Meru,Market,Delayed,63,2022-05-17,2022-09-02,23000000,Low,Medium,Rapid,0
Nakuru,Electricity,Delayed,19,2022-05-30,2022-12-18,62000000,Medium,Low,Stable,0
Eldoret,Bridge,Completed,100,2020-04-21,2021-07-18,36000000,Medium,Low,Rapid,0
Kakamega,School,In Progress,17,2021-12-19,2023-10-26,72000000,Low,Low,Rapid,0
Voi,Road,Delayed,73,2022-06-28,2023-11-14,10000000,Medium,Low,Slow,0
Embu,Market,In Progress,51,2021-03-13,2021-09-30,69000000,Medium,Medium,Stable,0
Lodwar,Bridge,Completed,100,2020-07-17,2021-08-13,88000000,Medium,Low,Slow,0
Marsabit,Market,In Progress,56,2022-08-11,2023-01-23,28000000,Medium,Low,Rapid,0
Thika,Hospital,In Progress,87,2021-07-19,2022-01-30,25000000,High,Low,Rapid,0
Mandera,Electricity,Delayed,83,2022-11-26,2024-10-11,79000000,Medium,Medium,Stable,0
Lodwar,School,Delayed,26,2021-05-11,2021-08-15,89000000,Low,Medium,Stable,0
Meru,Electricity,Not Started,0,,,16000000,Medium,High,Rapid,0
Garissa,Bridge,Not Started,0,,,78000000,Medium,High,Slow,0
Mombasa,School,Not Started,0,,,28000000,Low,High,Rapid,1
Wajir,School,Not Started,0,,,3000000,Low,Medium,Rapid,0
Meru,Bridge,Not Started,0,,,68000000,Medium,High,Slow,0
Kakamega,School,Not Started,0,,,46000000,High,Medium,Stable,0
Thika,Bridge,In Progress,87,2021-03-06,2022-04-08,52000000,Low,Low,Rapid,0
Mombasa,Hospital,In Progress,68,2022-03-18,2023-12-24,98000000,Medium,High,Stable,0
Isiolo,Water,Completed,100,2020-09-20,2021-06-20,44000000,Low,Low,Rapid,0
Embu,Water,In Progress,76,2021-08-16,2022-07-23,52000000,High,Low,Slow,0
Kakamega,Road,Delayed,33,2022-05-25,2023-05-29,45000000,Medium,High,Rapid,0
Thika,Hospital,Not Started,0,,,33000000,Medium,Medium,Rapid,0
Nyeri,Hospital,Not Started,0,,,54000000,Low,Medium,Rapid,0
Embu,Water,Not Started,0,,,4000000,High,High,Slow,0
Meru,School,Not Started,0,,,47000000,High,High,Slow,0
Mombasa,Bridge,Completed,100,2019-04-05,2020-06-15,41000000,High,Medium,Stable,0
Meru,Electricity,Completed,100,2019-10-13,2020-04-22,6000000,High,Low,Slow,0
Meru,Water,Completed,100,2018-04-13,2018-09-09,79000000,High,High,Slow,0
