Settlement Name,Project Type,Project Completion Status,Completion Percentage,Start Date,End Date,Project Budget (KES),Requirement,Population,Implementing Partner,Type of Settlement
Uasin Gishu,Renewable Energy,Completed,100,2018-11-25,2019-04-25,104720.85564063511,N/A,52310,World Bank,Rural
Marsabit,Sanitation,Completed,100,2018-01-09,2018-02-20,543733.4436164806,N/A,90110,USAID,Semi-Rural
Samburu,Health Clinic,Completed,100,2021-04-29,2021-07-18,460326.6024315738,N/A,71864,Red Cross,Rural
Nyeri,Community Center,Ongoing,42,2019-10-26,,87155.3179605456,N/A,37558,Save the Children,Semi-Rural
Mandera,Sanitation,Completed,100,2019-02-06,2019-06-09,161259.46841088354,N/A,28624,Red Cross,Semi-Rural
Kilifi,Renewable Energy,Completed,100,2018-05-06,2019-04-06,173833.63723939683,N/A,25843,Red Cross,Semi-Rural
Busia,Health Clinic,Completed,100,2018-10-08,2019-09-30,31712.090269106968,N/A,14663,Red Cross,Rural
Eldoret,Water Supply,Completed,100,2019-03-10,2019-08-30,150997.7901912215,N/A,25722,World Bank,Rural
Mombasa,Agriculture,Completed,100,2020-05-07,2020-11-24,1258411.5067829888,N/A,65857,UNICEF,Urban
Meru,Agriculture,Completed,100,2021-12-12,2022-10-20,275941.5915362284,N/A,40534,ActionAid,Semi-Rural
Tana River,Renewable Energy,Completed,100,2019-01-08,2019-05-10,292361.5417186836,N/A,53551,UNICEF,Rural
Nakuru,Community Center,Completed,100,2021-04-30,2021-11-05,220867.49194958498,N/A,33624,UNICEF,Semi-Rural
Embu,Road Construction,Completed,100,2018-01-11,2018-08-15,5439.389819152068,N/A,2403,USAID,Semi-Rural
Embu,Sanitation,Completed,100,2020-11-06,2021-04-22,899083.5933696721,N/A,95792,AMREF,Rural
Kilifi,Agriculture,Completed,100,2020-12-12,2021-12-06,352009.1961547475,N/A,38606,USAID,Semi-Rural
Homa Bay,Renewable Energy,Completed,100,2018-10-22,2019-04-25,134064.042699696,N/A,33872,Save the Children,Semi-Rural
Kilifi,Renewable Energy,Completed,100,2018-04-11,2018-07-05,666587.7264476473,N/A,88793,World Bank,Semi-Rural
Nakuru,Renewable Energy,Completed,100,2018-04-19,2019-03-31,232389.11322734415,N/A,30545,AMREF,Semi-Rural
Kisii,Community Center,Completed,100,2018-10-05,2018-12-30,232588.933367719,N/A,87457,World Bank,Semi-Rural
Turkana,Sanitation,Completed,100,2018-12-25,2019-11-07,21616.096502079577,N/A,3801,Save the Children,Semi-Rural
Wajir,Health Clinic,Ongoing,22,2019-11-29,,9561.741205116401,N/A,1364,AMREF,Rural
Tana River,Water Supply,Completed,100,2021-04-01,2022-01-26,422612.4203572491,N/A,64295,Oxfam,Semi-Rural
Laikipia,Agriculture,Completed,100,2019-02-16,2019-10-26,297622.66183364356,N/A,66888,Oxfam,Rural
Kajiado,Community Center,Completed,100,2019-08-08,2019-10-02,265808.13967839413,N/A,58450,World Bank,Semi-Rural
Trans Nzoia,Road Construction,Completed,100,2020-05-09,2020-12-10,38583.274222261636,N/A,5018,Save the Children,Semi-Rural
Nyeri,Health Clinic,Completed,100,2021-07-27,2021-09-20,777633.0045324741,N/A,91898,World Bank,Rural
Trans Nzoia,Agriculture,Completed,100,2021-07-20,2021-10-25,230341.61300636453,N/A,62521,ActionAid,Semi-Rural
Uasin Gishu,School Construction,Completed,100,2021-01-17,2021-09-01,118835.31110126709,N/A,12672,World Vision,Semi-Rural
Malindi,Health Clinic,Completed,100,2020-05-20,2020-12-31,412836.44524796645,N/A,41081,AMREF,Semi-Urban
Mandera,Road Construction,Completed,100,2019-07-22,2020-01-05,864432.7650566326,N/A,91382,World Bank,Semi-Rural
Kericho,Water Supply,Completed,100,2021-05-07,2022-01-02,207098.44184693077,N/A,59706,AMREF,Rural
Marsabit,Community Center,Completed,100,2018-01-06,2018-03-14,873023.4216538445,N/A,97248,USAID,Rural
Kwale,Health Clinic,Completed,100,2020-12-06,2021-09-10,137453.94375944205,N/A,48928,Oxfam,Rural
Nyeri,Health Clinic,Completed,100,2020-12-05,2021-10-04,84050.1984945414,N/A,20797,World Vision,Rural
Meru,Water Supply,Completed,100,2018-03-01,2018-12-04,337695.9576850849,N/A,78947,Save the Children,Rural
Kericho,Sanitation,Completed,100,2021-10-11,2022-03-03,122453.76695667149,N/A,14313,AMREF,Semi-Rural
Samburu,Road Construction,Completed,100,2021-07-29,2021-10-31,87982.07664479797,N/A,11973,CARE,Semi-Rural
Nakuru,Road Construction,Completed,100,2019-01-30,2019-05-13,130678.41675522918,N/A,15080,AMREF,Rural
Bungoma,School Construction,Completed,100,2018-05-19,2018-08-26,617568.8015398795,N/A,79553,ActionAid,Rural
Thika,Road Construction,Completed,100,2020-05-08,2020-10-12,733362.63132607,N/A,58911,CARE,Semi-Urban
Eldoret,Sanitation,Completed,100,2019-12-15,2020-03-13,121108.57679590808,N/A,38089,Red Cross,Rural
Nairobi,Water Supply,Completed,100,2020-09-14,2021-08-06,10893.224267330683,N/A,1037,UNICEF,Urban
Elgeyo Marakwet,Water Supply,Ongoing,74,2018-09-25,,26321.110739207066,N/A,6167,UNICEF,Rural
Siaya,Community Center,Completed,100,2019-05-05,2020-01-23,222842.8909015738,N/A,88640,CARE,Rural
Lamu,School Construction,Completed,100,2021-10-21,2022-01-19,465009.3107894795,N/A,55273,USAID,Rural
Machakos,School Construction,Completed,100,2020-09-03,2021-03-29,565401.1539080428,N/A,73322,Red Cross,Rural
Wajir,Renewable Energy,Completed,100,2019-09-29,2020-05-07,115979.15447412503,N/A,23666,UNICEF,Semi-Rural
Meru,Agriculture,Completed,100,2021-05-12,2021-09-07,346165.60103362985,N/A,75816,USAID,Semi-Rural
Embu,Agriculture,Completed,100,2021-05-27,2021-07-07,93548.53419370319,N/A,11778,World Bank,Semi-Rural
Nandi,Community Center,Completed,100,2021-09-26,2022-01-13,173624.72586182115,N/A,70868,AMREF,Rural
Nakuru,Health Clinic,Completed,100,2019-01-18,2019-03-05,233626.19789171964,N/A,74374,Red Cross,Rural
Naivasha,Agriculture,Ongoing,36,2020-03-24,,24356.995575048823,N/A,2509,World Bank,Semi-Urban
Tana River,School Construction,Completed,100,2018-03-22,2018-10-10,159901.11882194076,N/A,61313,Oxfam,Semi-Rural
Kisii,Renewable Energy,Completed,100,2020-05-17,2021-05-03,242685.73401948932,N/A,31782,World Vision,Rural
Isiolo,Agriculture,Completed,100,2019-04-09,2019-05-10,859642.3714473527,N/A,97188,Oxfam,Semi-Rural
Malindi,Health Clinic,Completed,100,2020-10-08,2021-03-27,646801.7404424432,N/A,84768,World Vision,Semi-Urban
Lamu,Renewable Energy,Completed,100,2019-07-27,2019-11-20,200448.7265152162,N/A,36794,AMREF,Semi-Rural
Naivasha,Renewable Energy,Completed,100,2019-01-19,2019-12-01,157578.73201939822,N/A,10677,UNICEF,Semi-Urban
Kericho,School Construction,Completed,100,2018-05-14,2018-09-27,302196.33917657577,N/A,91575,Oxfam,Rural
Garissa,Sanitation,Completed,100,2020-02-05,2020-10-26,37958.80952148091,N/A,11846,UNICEF,Semi-Rural
Kwale,Health Clinic,Completed,100,2021-01-18,2021-12-24,18087.789365115055,N/A,5311,World Vision,Rural
Machakos,Water Supply,Completed,100,2018-10-27,2019-05-04,370647.4779129411,N/A,58395,Oxfam,Semi-Rural
Isiolo,Renewable Energy,Completed,100,2019-08-14,2020-06-11,48646.82698128512,N/A,15260,Oxfam,Semi-Rural
Kisumu,Sanitation,Completed,100,2019-05-16,2019-12-17,961832.6970104622,N/A,56479,World Vision,Urban
Nandi,Health Clinic,Completed,100,2019-08-24,2019-12-31,483488.93423677987,N/A,78442,UNICEF,Rural
Uasin Gishu,Sanitation,Completed,100,2019-02-21,2019-09-14,214421.65947308403,N/A,38251,World Vision,Rural
Bomet,Road Construction,Completed,100,2018-08-01,2019-06-08,135747.97491518813,N/A,40574,AMREF,Rural
Tana River,Agriculture,Ongoing,69,2019-03-27,,700304.225757092,N/A,78066,ActionAid,Rural
Lamu,Agriculture,Ongoing,23,2018-02-13,,18947.95631851265,N/A,3837,UNICEF,Semi-Rural
Narok,Road Construction,Completed,100,2021-12-17,2022-06-25,430509.68516962044,N/A,49624,CARE,Rural
Eldoret,Agriculture,Completed,100,2019-04-17,2019-07-29,425288.45608355117,N/A,82007,AMREF,Rural
Nandi,Road Construction,Completed,100,2021-12-06,2022-04-01,22627.602391754983,N/A,4770,World Bank,Rural
Laikipia,Road Construction,Completed,100,2021-09-12,2022-04-20,389194.5480699243,N/A,40159,UNICEF,Semi-Rural
Bomet,Agriculture,Completed,100,2020-08-22,2021-01-11,222090.5971999634,N/A,84551,USAID,Semi-Rural
Malindi,Renewable Energy,Completed,100,2021-05-05,2022-03-24,178860.9914979173,N/A,13419,Red Cross,Semi-Urban
Kajiado,Sanitation,Completed,100,2021-03-30,2022-02-11,64563.30236469979,N/A,12136,World Vision,Semi-Rural
Homa Bay,Community Center,Completed,100,2021-01-15,2021-05-06,130946.30846775319,N/A,60052,Oxfam,Semi-Rural
Nandi,School Construction,Completed,100,2021-02-12,2021-10-17,498789.05926760583,N/A,62451,World Vision,Rural
Wajir,Health Clinic,Completed,100,2019-02-12,2019-08-01,645421.3010614021,N/A,77621,ActionAid,Semi-Rural
Kitale,Community Center,Completed,100,2019-02-21,2019-06-15,528309.0488819282,N/A,39546,Oxfam,Semi-Urban
Marsabit,Community Center,Completed,100,2019-04-18,2020-01-30,482909.2604495029,N/A,92207,Red Cross,Rural
Homa Bay,Sanitation,Completed,100,2018-03-30,2018-11-10,867829.2018191078,N/A,89553,AMREF,Semi-Rural
Homa Bay,Health Clinic,Completed,100,2018-09-21,2019-05-31,468571.06447339855,N/A,88889,Save the Children,Rural
Narok,Health Clinic,Completed,100,2021-02-07,2021-04-14,565476.5311721463,N/A,85821,Red Cross,Semi-Rural
Kitale,Water Supply,Completed,100,2018-06-15,2019-01-18,590261.7435873478,N/A,42340,Save the Children,Semi-Urban
Kisii,Sanitation,Completed,100,2020-10-30,2021-02-16,302386.0394956386,N/A,47707,World Bank,Semi-Rural
Nakuru,Health Clinic,Completed,100,2021-07-12,2021-08-19,612179.4231958236,N/A,83016,Red Cross,Rural
Samburu,Water Supply,Completed,100,2021-02-20,2021-04-23,69820.43008184114,N/A,13076,AMREF,Rural
Machakos,Agriculture,Completed,100,2019-11-20,2020-11-04,21725.554339513437,N/A,9118,AMREF,Rural
Malindi,Health Clinic,Completed,100,2021-09-23,2022-04-18,910430.5917539459,N/A,73728,World Vision,Semi-Urban
Nandi,Water Supply,Completed,100,2020-11-27,2021-05-10,223134.64947941073,N/A,63694,USAID,Semi-Rural
Turkana,Road Construction,Completed,100,2019-06-25,2019-12-15,20801.575375930646,N/A,3597,AMREF,Semi-Rural
Bungoma,Road Construction,Completed,100,2018-06-18,2019-04-02,257013.13434877843,N/A,28916,AMREF,Rural
Narok,Water Supply,Completed,100,2019-12-23,2020-02-19,53701.921117374965,N/A,10777,CARE,Rural
Samburu,School Construction,Ongoing,23,2020-04-14,,132167.2419735455,N/A,28703,UNICEF,Rural
Marsabit,Agriculture,Ongoing,50,2019-11-26,,773407.8898870408,N/A,84509,USAID,Semi-Rural
Kilifi,Road Construction,Completed,100,2018-09-15,2019-04-10,183884.65641975298,N/A,62142,CARE,Rural
Kisii,Health Clinic,Completed,100,2018-04-05,2018-09-06,547921.2318544448,N/A,68264,ActionAid,Rural
Kitale,Renewable Energy,Completed,100,2021-07-09,2021-11-04,528083.460207409,N/A,66092,ActionAid,Semi-Urban
Lamu,Community Center,Completed,100,2018-11-29,2019-03-15,816448.0654306923,N/A,93993,Oxfam,Semi-Rural
Malindi,Health Clinic,Completed,100,2021-10-08,2022-04-12,931586.5227293307,N/A,91999,USAID,Semi-Urban
Eldoret,Road Construction,Completed,100,2018-06-12,2018-07-26,62769.16063400228,N/A,6607,UNICEF,Semi-Rural
Kisumu,Road Construction,Completed,100,2019-05-01,2020-03-21,604836.7553903161,N/A,34617,Save the Children,Urban
Nairobi,Road Construction,Completed,100,2018-10-19,2019-09-12,745275.0487273877,N/A,39619,World Vision,Urban
Embu,Water Supply,Completed,100,2021-04-02,2021-07-24,259659.1707121179,N/A,48850,AMREF,Rural
Narok,Road Construction,Completed,100,2018-12-05,2019-06-27,223930.5159391213,N/A,31285,Oxfam,Semi-Rural
Nakuru,Agriculture,Completed,100,2019-05-18,2020-04-27,568028.5077824378,N/A,65094,World Bank,Semi-Rural
Kakamega,Community Center,Completed,100,2021-10-20,2022-05-26,295606.6816375485,N/A,78078,Oxfam,Rural
Lamu,Water Supply,Completed,100,2019-07-06,2019-09-11,595996.482752694,N/A,74631,ActionAid,Semi-Rural
Naivasha,Water Supply,Completed,100,2021-03-06,2021-07-08,495279.55020888505,N/A,47514,Save the Children,Semi-Urban
Thika,Road Construction,Completed,100,2018-01-24,2018-06-14,182598.8539842211,N/A,14882,Oxfam,Semi-Urban
Kilifi,Community Center,Completed,100,2020-03-03,2020-10-07,204079.05488377987,N/A,46278,World Vision,Semi-Rural
Wajir,Water Supply,Completed,100,2021-07-02,2022-05-21,457232.39551620104,N/A,82144,Red Cross,Rural
Wajir,Road Construction,Completed,100,2019-09-20,2020-01-07,698224.3093537036,N/A,77120,CARE,Rural
Malindi,Road Construction,Completed,100,2019-06-13,2020-04-25,1165007.2582325316,N/A,96018,Save the Children,Semi-Urban
Kisii,Renewable Energy,Completed,100,2019-03-14,2019-05-11,326682.3641771916,N/A,45472,World Bank,Semi-Rural
Nairobi,Road Construction,Completed,100,2021-01-29,2021-05-09,928368.5090765556,N/A,75489,Oxfam,Urban
Tana River,Road Construction,Completed,100,2019-03-07,2019-05-15,38787.44249296149,N/A,9007,World Vision,Rural
Bomet,Health Clinic,Completed,100,2021-11-05,2022-01-06,245200.0975218234,N/A,32996,CARE,Semi-Rural
Wajir,Health Clinic,Completed,100,2021-10-19,2022-07-29,116974.45759814186,N/A,58320,Red Cross,Rural
Meru,Renewable Energy,Completed,100,2018-11-21,2019-05-28,485321.7441521932,N/A,49068,ActionAid,Semi-Rural
Trans Nzoia,Agriculture,Completed,100,2021-11-26,2022-08-07,109026.99142029064,N/A,50306,USAID,Rural
Nandi,Road Construction,Completed,100,2021-04-29,2021-06-15,505553.09025167464,N/A,69960,USAID,Rural
Kajiado,Renewable Energy,Completed,100,2018-03-17,2018-05-20,276438.1195060046,N/A,42833,Save the Children,Rural
Nakuru,Water Supply,Completed,100,2020-10-09,2021-05-17,506119.4159764733,N/A,59481,Red Cross,Rural
Nairobi,Health Clinic,Completed,100,2021-09-03,2022-07-20,1066277.3305906504,N/A,77095,Oxfam,Urban
Nyeri,Health Clinic,Completed,100,2018-11-03,2019-04-25,43026.44902733931,N/A,5023,USAID,Semi-Rural
Kitale,Road Construction,Completed,100,2018-09-28,2018-12-26,527554.5982847706,N/A,65680,Red Cross,Semi-Urban
Isiolo,Health Clinic,Completed,100,2021-06-09,2021-10-23,199514.08769735397,N/A,30377,Oxfam,Rural
Nandi,Community Center,Completed,100,2020-01-02,2020-11-14,434802.351061303,N/A,65892,World Vision,Semi-Rural
Kakamega,Sanitation,Completed,100,2021-07-11,2021-10-12,128429.54272705226,N/A,26411,USAID,Rural
Kitale,Water Supply,Completed,100,2021-05-29,2021-07-01,727768.8751152294,N/A,65514,ActionAid,Semi-Urban
Thika,Agriculture,Completed,100,2019-04-28,2019-06-27,415687.1871142581,N/A,70002,World Vision,Semi-Urban
Nyeri,Agriculture,Completed,100,2020-05-29,2021-05-11,53701.11827817241,N/A,10422,World Bank,Semi-Rural
Mandera,Health Clinic,Completed,100,2021-07-31,2021-09-19,165049.8053251521,N/A,29834,Save the Children,Semi-Rural
Tana River,Sanitation,Completed,100,2018-05-07,2018-12-15,619292.877550431,N/A,75034,UNICEF,Rural
Uasin Gishu,Community Center,Completed,100,2018-08-23,2019-03-24,483127.5657557549,N/A,93662,AMREF,Semi-Rural
Naivasha,Health Clinic,Completed,100,2019-02-17,2019-04-13,172877.85965674534,N/A,34414,UNICEF,Semi-Urban
Bomet,Road Construction,Completed,100,2019-02-20,2019-05-11,462084.4016382643,N/A,64333,Red Cross,Rural
Kwale,Health Clinic,Completed,100,2021-03-11,2021-10-23,148388.47851658045,N/A,18140,UNICEF,Rural
Embu,Agriculture,Completed,100,2019-03-21,2019-11-12,27975.99263840678,N/A,9630,UNICEF,Semi-Rural
Siaya,Renewable Energy,Completed,100,2019-11-16,2020-05-21,226164.56052329385,N/A,61520,World Vision,Semi-Rural
Kakamega,Renewable Energy,Completed,100,2019-10-28,2020-01-03,51871.42451894871,N/A,10884,World Bank,Rural
Taita Taveta,Renewable Energy,Completed,100,2020-02-01,2020-09-07,611963.1798715412,N/A,70726,USAID,Rural
Kwale,Road Construction,Completed,100,2018-05-13,2018-08-05,501700.83393329114,N/A,50907,ActionAid,Rural
Elgeyo Marakwet,Road Construction,Completed,100,2018-09-16,2019-06-23,327609.6267308139,N/A,84609,World Vision,Semi-Rural
Turkana,Renewable Energy,Completed,100,2019-08-12,2020-01-15,102007.76386786238,N/A,19296,UNICEF,Rural
Uasin Gishu,Health Clinic,Completed,100,2021-04-29,2021-11-07,155182.52547081182,N/A,28167,ActionAid,Rural
Malindi,Road Construction,Completed,100,2018-07-13,2019-02-23,237794.61948608374,N/A,32645,AMREF,Semi-Urban
Bomet,Water Supply,Completed,100,2018-08-09,2019-06-07,639217.2427404812,N/A,81083,USAID,Semi-Rural
Bomet,Community Center,Completed,100,2020-07-11,2020-12-17,296328.8239438814,N/A,34583,Red Cross,Rural
Kericho,School Construction,Completed,100,2018-05-08,2018-12-23,109562.59832250403,N/A,21108,UNICEF,Semi-Rural
Thika,Renewable Energy,Completed,100,2019-02-20,2019-08-16,763111.6746180521,N/A,54739,CARE,Semi-Urban
Kakamega,Road Construction,Completed,100,2020-05-01,2020-07-30,434321.00080125395,N/A,54555,AMREF,Rural
Malindi,Renewable Energy,Completed,100,2021-05-29,2021-07-18,59965.32740251989,N/A,7026,CARE,Semi-Urban
Kisumu,Sanitation,Completed,100,2021-07-10,2021-12-31,553532.2861101208,N/A,30550,ActionAid,Urban
Nairobi,Community Center,Completed,100,2018-03-03,2018-11-16,855549.6041157331,N/A,50177,World Vision,Urban
Nandi,Health Clinic,Completed,100,2019-08-18,2019-10-11,617361.717306865,N/A,80303,UNICEF,Rural
Laikipia,Renewable Energy,Completed,100,2018-03-27,2019-02-14,137670.40230124455,N/A,39725,UNICEF,Rural
Nakuru,School Construction,Completed,100,2021-02-02,2021-05-08,342243.072347066,N/A,66149,Red Cross,Rural
Kitale,Water Supply,Completed,100,2020-07-17,2021-05-24,91081.43573389572,N/A,8507,UNICEF,Semi-Urban
Mombasa,Road Construction,Completed,100,2020-02-22,2020-05-03,1352569.0717903913,N/A,86973,Save the Children,Urban
Uasin Gishu,Water Supply,Completed,100,2018-10-19,2019-09-05,206950.26753502502,N/A,66018,Save the Children,Semi-Rural
Narok,Renewable Energy,Completed,100,2021-01-05,2021-08-30,224182.16125207843,N/A,58417,CARE,Semi-Rural
Uasin Gishu,Agriculture,Completed,100,2018-03-15,2018-08-16,333034.3670295206,N/A,73010,World Vision,Semi-Rural
Nairobi,School Construction,Completed,100,2020-01-17,2021-01-04,879539.5459855655,N/A,49889,World Vision,Urban
Trans Nzoia,Renewable Energy,Completed,100,2020-03-28,2020-05-10,256488.27837996403,N/A,71649,World Vision,Semi-Rural
Meru,Agriculture,Completed,100,2018-03-07,2018-09-19,56601.80247580656,N/A,9656,World Vision,Rural
Lamu,Community Center,Ongoing,20,2020-11-28,,661678.07071306,N/A,79232,CARE,Rural
Nakuru,Water Supply,Completed,100,2019-01-28,2019-09-18,804066.2759816373,N/A,89952,World Vision,Semi-Rural
Taita Taveta,Road Construction,Completed,100,2018-09-10,2019-07-01,474247.58209944266,N/A,63643,Oxfam,Rural
Kisii,Health Clinic,Completed,100,2018-11-03,2019-08-25,67273.79074891032,N/A,22711,World Vision,Semi-Rural
Eldoret,Sanitation,Completed,100,2021-10-22,2022-02-17,250993.40180191578,N/A,56486,CARE,Rural
Nakuru,Community Center,Completed,100,2019-08-05,2020-02-21,104748.96207244977,N/A,30362,ActionAid,Semi-Rural
Meru,Health Clinic,Completed,100,2021-08-13,2021-12-01,237570.4186161477,N/A,78842,Oxfam,Rural
Elgeyo Marakwet,Renewable Energy,Completed,100,2018-12-15,2019-11-30,827250.2753882711,N/A,97950,CARE,Semi-Rural
Trans Nzoia,Sanitation,Completed,100,2020-08-10,2021-01-20,45497.05989704902,N/A,11599,World Vision,Rural
Malindi,Water Supply,Completed,100,2018-09-06,2019-05-28,280938.1735605783,N/A,50492,World Bank,Semi-Urban
Lamu,Road Construction,Completed,100,2019-06-13,2020-03-21,328221.4812972332,N/A,76145,Oxfam,Rural
Kakamega,Renewable Energy,Completed,100,2020-01-23,2020-09-08,48333.56616338341,N/A,6392,CARE,Semi-Rural
Nyeri,Road Construction,Completed,100,2018-01-18,2018-07-31,158591.21245728934,N/A,21234,ActionAid,Rural
Kakamega,Road Construction,Completed,100,2018-08-05,2018-10-07,507076.2131727178,N/A,92501,World Vision,Rural
Kakamega,Community Center,Completed,100,2020-11-01,2021-09-30,701476.6116482236,N/A,74527,Red Cross,Semi-Rural
West Pokot,Community Center,Completed,100,2021-09-02,2021-11-28,567117.2362476526,N/A,57697,World Bank,Rural
Kajiado,Renewable Energy,Completed,100,2021-06-11,2021-09-07,163353.93433304125,N/A,34038,World Bank,Rural
Embu,Agriculture,Completed,100,2018-05-01,2019-02-07,290013.7244911515,N/A,80027,CARE,Rural
Laikipia,Community Center,Completed,100,2021-01-14,2021-11-13,408661.87120922015,N/A,44066,Oxfam,Rural
Bungoma,Sanitation,Completed,100,2019-07-20,2020-03-02,162212.63279867652,N/A,73887,USAID,Rural
Kilifi,Road Construction,Completed,100,2021-12-06,2022-08-14,313060.5997388191,N/A,33642,Oxfam,Semi-Rural
Kwale,Water Supply,Ongoing,66,2019-06-04,,262160.0438824186,N/A,65303,World Vision,Semi-Rural
Nandi,Health Clinic,Completed,100,2019-03-23,2019-07-04,155104.12200423284,N/A,71283,World Vision,Rural
Machakos,School Construction,Completed,100,2021-09-19,2022-05-09,526174.492108307,N/A,61719,Oxfam,Rural
Uasin Gishu,Sanitation,Completed,100,2020-02-24,2020-08-08,195296.12351132612,N/A,59031,AMREF,Rural
Narok,Sanitation,Completed,100,2019-10-08,2020-02-28,68146.6072753239,N/A,30960,ActionAid,Rural
Naivasha,Road Construction,Completed,100,2019-11-07,2020-03-07,180999.52099596258,N/A,31505,World Vision,Semi-Urban
Siaya,Road Construction,Completed,100,2019-11-11,2020-02-02,825200.0832377089,N/A,94948,Oxfam,Semi-Rural
Mandera,Road Construction,Completed,100,2020-10-25,2021-08-07,269295.88035528193,N/A,66129,Save the Children,Semi-Rural
Kisii,Agriculture,Completed,100,2018-12-09,2019-06-26,353067.24444243516,N/A,43770,World Bank,Rural
Kiambu,Sanitation,Completed,100,2018-11-07,2019-03-05,324225.8960870372,N/A,62762,World Vision,Rural
Samburu,School Construction,Completed,100,2021-10-21,2022-02-21,654512.7220223176,N/A,86464,Save the Children,Rural
Lamu,Road Construction,Completed,100,2019-07-28,2020-05-06,599202.0895752362,N/A,92627,ActionAid,Semi-Rural
Eldoret,Agriculture,Completed,100,2021-07-07,2021-10-16,339918.7749850096,N/A,52052,Oxfam,Semi-Rural
Naivasha,Water Supply,Completed,100,2020-01-01,2020-10-03,1043632.56021296,N/A,81212,USAID,Semi-Urban
West Pokot,Road Construction,Completed,100,2020-04-18,2020-09-02,533187.5172946933,N/A,62807,UNICEF,Rural
Kericho,Community Center,Completed,100,2021-02-25,2022-02-15,562317.0873860866,N/A,95024,Red Cross,Rural
Turkana,Water Supply,Completed,100,2020-11-13,2021-03-02,151074.53455773767,N/A,62596,Oxfam,Semi-Rural
Kilifi,Road Construction,Completed,100,2019-02-02,2019-05-13,373117.4775417171,N/A,66883,Red Cross,Semi-Rural
Nairobi,Road Construction,Completed,100,2018-04-09,2019-01-05,285272.75185664365,N/A,20422,Red Cross,Urban
Elgeyo Marakwet,Sanitation,Completed,100,2020-12-31,2021-09-29,53169.24425770201,N/A,13938,World Vision,Semi-Rural
Nyeri,Road Construction,Completed,100,2018-04-02,2018-05-23,39790.497676013314,N/A,15706,ActionAid,Semi-Rural
Trans Nzoia,Community Center,Completed,100,2020-06-20,2021-04-25,51086.5079076703,N/A,18771,AMREF,Rural
Lamu,School Construction,Completed,100,2020-10-15,2021-06-22,141032.8577418113,N/A,56048,World Bank,Semi-Rural
Eldoret,Road Construction,Completed,100,2018-01-14,2018-10-01,632052.8710349133,N/A,71825,CARE,Rural
Thika,Renewable Energy,Completed,100,2021-11-09,2022-06-22,507718.5371438763,N/A,89628,Oxfam,Semi-Urban
Tana River,Renewable Energy,Completed,100,2020-05-24,2021-01-16,580430.5806244398,N/A,63771,World Vision,Rural
Kisumu,Community Center,Completed,100,2019-09-27,2020-04-29,778237.7490694132,N/A,47733,Oxfam,Urban
Kwale,Community Center,Completed,100,2018-09-14,2019-05-06,190796.76946440217,N/A,19298,World Bank,Rural
Naivasha,Road Construction,Ongoing,87,2020-10-01,,619090.0687361417,N/A,45440,ActionAid,Semi-Urban
Kisumu,School Construction,Completed,100,2019-07-11,2019-11-22,754107.3048446157,N/A,70358,Red Cross,Urban
Trans Nzoia,Water Supply,Completed,100,2021-03-11,2021-08-23,73153.80345954387,N/A,10916,World Vision,Semi-Rural
Kericho,Water Supply,Completed,100,2021-03-10,2021-06-03,241240.10828093177,N/A,82614,USAID,Rural
Tana River,Community Center,Ongoing,49,2019-05-18,,207227.34998679694,N/A,44663,UNICEF,Semi-Rural
Elgeyo Marakwet,Road Construction,Completed,100,2021-11-14,2022-10-20,254578.62138772302,N/A,41318,Save the Children,Rural
Kiambu,Community Center,Completed,100,2019-12-31,2020-11-02,841963.6917757285,N/A,90900,Red Cross,Rural
Marsabit,Renewable Energy,Completed,100,2020-11-04,2021-05-16,243803.661263317,N/A,61204,CARE,Rural
Samburu,School Construction,Completed,100,2019-01-13,2019-04-28,766692.9612604622,N/A,94510,Oxfam,Semi-Rural
Isiolo,Water Supply,Completed,100,2019-11-05,2020-02-10,172486.4741287251,N/A,18140,ActionAid,Semi-Rural
Migori,Water Supply,Completed,100,2021-01-23,2021-10-25,155423.6097913501,N/A,17360,Save the Children,Rural
Thika,Road Construction,Ongoing,60,2021-04-16,,813334.9255928327,N/A,94556,UNICEF,Semi-Urban
Naivasha,Community Center,Completed,100,2019-01-16,2019-04-12,281573.86558505334,N/A,51345,Save the Children,Semi-Urban
Migori,Sanitation,Completed,100,2020-04-23,2020-07-23,227894.5256511314,N/A,46971,World Bank,Rural
Migori,Road Construction,Completed,100,2020-08-26,2020-09-28,118818.06636695648,N/A,18862,CARE,Rural
Nandi,Road Construction,Completed,100,2020-08-02,2020-10-13,436957.5912088479,N/A,47104,ActionAid,Rural
Kilifi,Water Supply,Completed,100,2019-08-19,2019-10-21,186623.90069806026,N/A,54678,World Vision,Semi-Rural
Narok,Community Center,Completed,100,2020-10-27,2021-09-13,478896.0208541021,N/A,56781,Red Cross,Semi-Rural
Meru,School Construction,Completed,100,2018-12-29,2019-03-17,108153.99247037047,N/A,39108,Save the Children,Rural
Embu,Agriculture,Completed,100,2018-01-27,2018-05-29,479241.8615337412,N/A,73683,World Vision,Rural
Garissa,Road Construction,Completed,100,2021-07-07,2022-02-18,683706.2970790444,N/A,82015,AMREF,Rural
Naivasha,Renewable Energy,Completed,100,2020-06-18,2021-03-29,216674.21572094483,N/A,24259,AMREF,Semi-Urban
Mombasa,Agriculture,Completed,100,2019-09-12,2020-05-10,845886.3275893278,N/A,79065,World Bank,Urban
