Settlement Name,Project Type,Project Completion Status,Completion Percentage,Project Budget (KES),Requirement,Population,Implementing Partner,Type of Settlement
SET_0508,Hospital Development,Completed On Time,100,33487167.993760318,Hospital Development Requirement 507,51931,IP_04,Urban
SET_0509,Water Supply,Delayed,68,883055.7833553575,Water Supply Requirement 508,3426,IP_09,Rural
SET_0510,School Building,Completed On Time,100,2042086.508245214,School Building Requirement 509,5017,IP_15,Semi Rural
SET_0511,Market Place Construction,Completed On Time,100,15809660.997879222,Market Place Construction Requirement 510,55318,IP_16,Semi Urban
SET_0512,School Building,Completed Behind Schedule,80,4710038.883684225,School Building Requirement 511,11442,IP_16,Semi Urban
SET_0513,School Building,Completed Behind Schedule,83,37897064.68734209,School Building Requirement 512,67897,IP_14,Semi Urban
SET_0514,Hospital Development,Stalled,36,346769.9102769457,Hospital Development Requirement 513,1869,IP_10,Rural
SET_0515,Road Construction,Ongoing,54,39488920.416234136,Road Construction Requirement 514,90160,IP_01,Urban
SET_0516,Energy,Completed On Time,100,54096107.33568824,Energy Requirement 515,93708,IP_11,Urban
SET_0517,Hospital Development,Completed Behind Schedule,83,27021840.98583041,Hospital Development Requirement 516,71843,IP_15,Semi Urban
SET_0518,Market Place Construction,Ongoing,40,29883086.379431654,Market Place Construction Requirement 517,74233,IP_07,Semi Urban
SET_0519,Water Supply,Completed On Time,100,15719882.231536493,Water Supply Requirement 518,55122,IP_03,Semi Urban
SET_0520,Energy,Completed Behind Schedule,85,20187148.026459977,Energy Requirement 519,77709,IP_05,Semi Urban
SET_0521,Road Construction,Ongoing,36,15667378.462889874,Road Construction Requirement 520,36529,IP_19,Semi Rural
SET_0522,Hospital Development,Completed Behind Schedule,89,5332799.053655701,Hospital Development Requirement 521,13356,IP_20,Semi Urban
SET_0523,Road Construction,Completed On Time,100,61661427.17384622,Road Construction Requirement 522,96980,IP_14,Urban
SET_0524,School Building,Completed On Time,100,20002302.922594104,School Building Requirement 523,67736,IP_09,Semi Urban
SET_0525,Energy,Completed Behind Schedule,88,38847873.60934666,Energy Requirement 524,60500,IP_17,Urban
SET_0526,Market Place Construction,Completed Behind Schedule,88,31678351.635415256,Market Place Construction Requirement 525,91063,IP_13,Urban
SET_0527,Energy,Completed Behind Schedule,92,8269958.27781701,Energy Requirement 526,33115,IP_02,Semi Urban
SET_0528,Water Supply,Ongoing,51,12940572.374622699,Water Supply Requirement 527,42605,IP_11,Semi Rural
SET_0529,School Building,Completed On Time,100,15462350.451230653,School Building Requirement 528,42458,IP_02,Semi Rural
SET_0530,Road Construction,Completed Behind Schedule,86,8805678.090100633,Road Construction Requirement 529,47313,IP_19,Semi Rural
SET_0531,Energy,Cancelled,8,19726322.670611855,Energy Requirement 530,45942,IP_01,Semi Rural
SET_0532,Energy,Ongoing,69,16114602.161570208,Energy Requirement 531,37320,IP_18,Semi Urban
SET_0533,School Building,Delayed,51,1071529.8614953046,School Building Requirement 532,6618,IP_16,Rural
SET_0534,Road Construction,Stalled,16,7096839.958187166,Road Construction Requirement 533,29916,IP_07,Semi Rural
SET_0535,Water Supply,Delayed,56,33139400.027432214,Water Supply Requirement 534,59692,IP_01,Semi Urban
SET_0536,Road Construction,Delayed,76,14959535.996429106,Road Construction Requirement 535,37413,IP_11,Semi Urban
SET_0537,School Building,Completed On Time,100,11848207.06576593,School Building Requirement 536,31075,IP_01,Semi Rural
SET_0538,Water Supply,Delayed,68,6647268.346313971,Water Supply Requirement 537,34272,IP_07,Semi Rural
SET_0539,Energy,Delayed,58,6715563.706640986,Energy Requirement 538,12676,IP_14,Semi Urban
SET_0540,Energy,Completed On Time,100,7986221.53988553,Energy Requirement 539,35872,IP_08,Semi Rural
SET_0541,Energy,Completed On Time,100,27966753.074622035,Energy Requirement 540,52717,IP_20,Semi Urban
SET_0542,Road Construction,Completed Behind Schedule,92,45676565.56476301,Road Construction Requirement 541,77848,IP_10,Urban
SET_0543,Water Supply,Completed On Time,100,13839013.548042543,Water Supply Requirement 542,27946,IP_04,Semi Urban
SET_0544,Hospital Development,Completed On Time,100,8211590.282586944,Hospital Development Requirement 543,25123,IP_11,Semi Rural
SET_0545,School Building,Completed Behind Schedule,81,4080198.9268167256,School Building Requirement 544,10277,IP_04,Semi Rural
SET_0546,Road Construction,Delayed,62,5223086.575154448,Road Construction Requirement 545,17633,IP_20,Semi Rural
SET_0547,Road Construction,Completed On Time,100,20967678.19121738,Road Construction Requirement 546,45386,IP_09,Semi Urban
SET_0548,Market Place Construction,Completed On Time,100,11702459.030096214,Market Place Construction Requirement 547,35693,IP_04,Semi Urban
SET_0549,School Building,Ongoing,71,14948897.957193589,School Building Requirement 548,45516,IP_11,Semi Urban
SET_0550,Energy,Ongoing,69,25210161.504547395,Energy Requirement 549,52727,IP_12,Semi Urban
SET_0551,School Building,Completed On Time,100,11948864.910700232,School Building Requirement 550,44307,IP_12,Semi Urban
SET_0552,Hospital Development,Cancelled,17,1619188.5342318455,Hospital Development Requirement 551,5886,IP_15,Semi Rural
SET_0553,Hospital Development,Ongoing,30,27453596.198758427,Hospital Development Requirement 552,52877,IP_14,Urban
SET_0554,Water Supply,Delayed,59,33461792.011378728,Water Supply Requirement 553,67458,IP_04,Semi Urban
SET_0555,Energy,Ongoing,41,5197400.007913373,Energy Requirement 554,26939,IP_05,Semi Rural
SET_0556,Energy,Delayed,52,42018057.78570159,Energy Requirement 555,67629,IP_14,Urban
SET_0557,School Building,Completed Behind Schedule,93,44375624.371136166,School Building Requirement 556,86679,IP_07,Semi Urban
SET_0558,Water Supply,Delayed,60,13041371.94982101,Water Supply Requirement 557,29901,IP_06,Semi Rural
SET_0559,Hospital Development,Completed Behind Schedule,89,21716583.853102602,Hospital Development Requirement 558,94459,IP_15,Semi Urban
SET_0560,Water Supply,Cancelled,11,37917866.7001891,Water Supply Requirement 559,85748,IP_11,Urban
SET_0561,Energy,Ongoing,64,2218989.1629691506,Energy Requirement 560,15334,IP_18,Semi Rural
SET_0562,Road Construction,Completed On Time,100,7856990.558067526,Road Construction Requirement 561,18375,IP_03,Semi Rural
SET_0563,Hospital Development,Delayed,59,15310344.185173841,Hospital Development Requirement 562,47287,IP_19,Semi Urban
SET_0564,Hospital Development,Completed On Time,100,12927054.197841212,Hospital Development Requirement 563,37289,IP_11,Semi Rural
SET_0565,Energy,Ongoing,34,47360807.00781081,Energy Requirement 564,73374,IP_04,Semi Urban
SET_0566,Energy,Ongoing,54,2363080.4988555806,Energy Requirement 565,6232,IP_18,Semi Rural
SET_0567,Hospital Development,Completed Behind Schedule,90,10730945.188884687,Hospital Development Requirement 566,47646,IP_09,Semi Rural
SET_0568,Hospital Development,Ongoing,39,51557171.94644803,Hospital Development Requirement 567,98790,IP_07,Urban
SET_0569,Market Place Construction,Completed On Time,100,10013787.387452122,Market Place Construction Requirement 568,40104,IP_17,Semi Urban
SET_0570,Water Supply,Completed On Time,100,24854905.03163503,Water Supply Requirement 569,60821,IP_11,Semi Urban
SET_0571,Market Place Construction,Ongoing,67,11334583.447530517,Market Place Construction Requirement 570,35087,IP_13,Semi Rural
SET_0572,Water Supply,Completed On Time,100,14765955.132163841,Water Supply Requirement 571,26380,IP_08,Semi Urban
SET_0573,Market Place Construction,Completed On Time,100,5534713.907502616,Market Place Construction Requirement 572,23439,IP_17,Semi Urban
SET_0574,Market Place Construction,Delayed,79,49055408.63429105,Market Place Construction Requirement 573,95835,IP_15,Urban
SET_0575,Hospital Development,Delayed,52,24698603.548035033,Hospital Development Requirement 574,89151,IP_17,Semi Urban
SET_0576,Road Construction,Delayed,79,17903074.48061906,Road Construction Requirement 575,57583,IP_12,Urban
SET_0577,Road Construction,Stalled,28,13703035.76672247,Road Construction Requirement 576,36903,IP_07,Semi Rural
SET_0578,Market Place Construction,Completed On Time,100,9280127.234238604,Market Place Construction Requirement 577,26338,IP_15,Semi Rural
SET_0579,Water Supply,Cancelled,8,4825463.21369577,Water Supply Requirement 578,20539,IP_08,Semi Urban
SET_0580,Hospital Development,Completed On Time,100,25564333.037586704,Hospital Development Requirement 579,91221,IP_07,Semi Urban
SET_0581,Market Place Construction,Ongoing,61,6207946.215087323,Market Place Construction Requirement 580,16408,IP_04,Semi Rural
SET_0582,School Building,Cancelled,2,7317622.793537612,School Building Requirement 581,13453,IP_14,Semi Urban
SET_0583,Energy,Ongoing,69,2806694.911240892,Energy Requirement 582,11692,IP_12,Semi Rural
SET_0584,Market Place Construction,Completed On Time,100,17533832.6479584,Market Place Construction Requirement 583,47525,IP_10,Semi Urban
SET_0585,Water Supply,Completed On Time,100,14935441.5317703,Water Supply Requirement 584,42185,IP_12,Semi Urban
SET_0586,Road Construction,Completed Behind Schedule,86,40099223.943952344,Road Construction Requirement 585,88438,IP_08,Semi Urban
SET_0587,Market Place Construction,Ongoing,42,37427600.066669896,Market Place Construction Requirement 586,65729,IP_12,Urban
SET_0588,Energy,Completed Behind Schedule,82,6136968.000586258,Energy Requirement 587,18618,IP_07,Semi Rural
SET_0589,Market Place Construction,Ongoing,69,11300972.244279318,Market Place Construction Requirement 588,33954,IP_05,Semi Urban
SET_0590,Energy,Ongoing,55,20064667.990450654,Energy Requirement 589,38842,IP_07,Semi Urban
SET_0591,Road Construction,Completed On Time,100,31805955.087021947,Road Construction Requirement 590,68231,IP_03,Urban
SET_0592,Market Place Construction,Completed Behind Schedule,95,21883877.07060244,Market Place Construction Requirement 591,51818,IP_08,Urban
SET_0593,Energy,Delayed,52,10479136.227061024,Energy Requirement 592,26805,IP_05,Semi Rural
SET_0594,Energy,Completed On Time,100,6969501.364065221,Energy Requirement 593,20800,IP_07,Semi Urban
SET_0595,Energy,Delayed,67,15537201.029504882,Energy Requirement 594,54772,IP_17,Urban
SET_0596,Energy,Ongoing,42,26373592.742204554,Energy Requirement 595,85899,IP_18,Urban
SET_0597,Hospital Development,Completed On Time,100,29051654.832736533,Hospital Development Requirement 596,87124,IP_13,Urban
SET_0598,Water Supply,Delayed,65,43750871.70030926,Water Supply Requirement 597,92632,IP_17,Semi Urban
SET_0599,Energy,Delayed,78,37328173.77369918,Energy Requirement 598,67406,IP_11,Urban
SET_0600,Water Supply,Completed On Time,100,32518875.60033285,Water Supply Requirement 599,65093,IP_15,Urban
SET_0601,Road Construction,Delayed,70,5055472.948397241,Road Construction Requirement 600,32923,IP_01,Semi Rural
SET_0602,Road Construction,Delayed,50,17231303.48459762,Road Construction Requirement 601,32027,IP_16,Semi Urban
SET_0603,Road Construction,Completed Behind Schedule,92,10391625.336622974,Road Construction Requirement 602,37639,IP_08,Semi Urban
SET_0604,Hospital Development,Completed Behind Schedule,87,3106912.781152005,Hospital Development Requirement 603,16549,IP_07,Semi Rural
SET_0605,Hospital Development,Completed On Time,100,11225458.5126877,Hospital Development Requirement 604,23800,IP_06,Semi Urban
SET_0606,Energy,Completed On Time,100,5802580.709284265,Energy Requirement 605,14233,IP_09,Semi Rural
SET_0607,Road Construction,Completed Behind Schedule,96,33675762.647339575,Road Construction Requirement 606,87242,IP_08,Urban
SET_0608,Hospital Development,Ongoing,35,14294249.727190858,Hospital Development Requirement 607,42830,IP_02,Semi Rural
SET_0609,Energy,Delayed,53,35040964.363255,Energy Requirement 608,77918,IP_04,Urban
SET_0610,School Building,Ongoing,46,47170619.52579689,School Building Requirement 609,96500,IP_14,Semi Urban
SET_0611,Hospital Development,Completed Behind Schedule,87,32543103.193418525,Hospital Development Requirement 610,88225,IP_10,Semi Urban
SET_0612,School Building,Stalled,17,18356922.71636069,School Building Requirement 611,33551,IP_06,Semi Urban
SET_0613,Market Place Construction,Completed On Time,100,29496175.59814535,Market Place Construction Requirement 612,62576,IP_14,Urban
SET_0614,Water Supply,Completed On Time,100,46804239.71699314,Water Supply Requirement 613,98057,IP_20,Urban
SET_0615,School Building,Completed On Time,100,9907907.143940113,School Building Requirement 614,32954,IP_17,Semi Urban
SET_0616,Hospital Development,Ongoing,55,38040489.637104064,Hospital Development Requirement 615,62899,IP_18,Urban
SET_0617,Market Place Construction,Completed On Time,100,28181226.006473415,Market Place Construction Requirement 616,78963,IP_02,Urban
SET_0618,Energy,Ongoing,49,7175913.940703511,Energy Requirement 617,21354,IP_01,Semi Rural
SET_0619,Market Place Construction,Completed Behind Schedule,93,26450945.92012991,Market Place Construction Requirement 618,52493,IP_05,Urban
SET_0620,Energy,Completed Behind Schedule,94,8754063.5517893,Energy Requirement 619,36440,IP_03,Semi Urban
SET_0621,Energy,Ongoing,69,16481408.765927471,Energy Requirement 620,46927,IP_17,Semi Urban
SET_0622,Hospital Development,Completed On Time,100,30260612.735330492,Hospital Development Requirement 621,71204,IP_13,Semi Urban
SET_0623,Energy,Completed On Time,100,9855290.088542659,Energy Requirement 622,21316,IP_19,Semi Urban
SET_0624,Energy,Completed On Time,100,3236746.9238000307,Energy Requirement 623,6898,IP_08,Semi Rural
SET_0625,Water Supply,Cancelled,9,16530760.971973363,Water Supply Requirement 624,63901,IP_15,Semi Urban
SET_0626,School Building,Completed On Time,100,11372723.877738904,School Building Requirement 625,40454,IP_05,Semi Rural
SET_0627,Road Construction,Ongoing,71,56136085.39849679,Road Construction Requirement 626,86824,IP_06,Urban
SET_0628,Hospital Development,Completed Behind Schedule,94,21370527.658614673,Hospital Development Requirement 627,84948,IP_13,Semi Urban
SET_0629,Road Construction,Completed Behind Schedule,85,31069450.771367703,Road Construction Requirement 628,79672,IP_08,Semi Urban
SET_0630,Water Supply,Completed Behind Schedule,96,23654115.71296371,Water Supply Requirement 629,66333,IP_06,Urban
SET_0631,Water Supply,Ongoing,54,5835778.121435603,Water Supply Requirement 630,14269,IP_20,Semi Rural
SET_0632,Energy,Ongoing,33,30960674.999319065,Energy Requirement 631,69154,IP_13,Semi Urban
SET_0633,Market Place Construction,Delayed,64,1785576.1214323484,Market Place Construction Requirement 632,8566,IP_19,Rural
SET_0634,Market Place Construction,Completed Behind Schedule,95,4461112.692880376,Market Place Construction Requirement 633,19019,IP_17,Semi Urban
SET_0635,Hospital Development,Completed Behind Schedule,83,23277782.98469013,Hospital Development Requirement 634,51225,IP_14,Urban
SET_0636,Water Supply,Completed Behind Schedule,83,15097055.013211085,Water Supply Requirement 635,40791,IP_16,Semi Urban
SET_0637,Energy,Completed On Time,100,6338399.002837476,Energy Requirement 636,14699,IP_03,Semi Urban
SET_0638,Energy,Cancelled,9,9063841.522151664,Energy Requirement 637,29807,IP_07,Semi Rural
SET_0639,Market Place Construction,Ongoing,45,14235963.11041255,Market Place Construction Requirement 638,36186,IP_18,Semi Urban
SET_0640,School Building,Completed Behind Schedule,81,18251976.209997363,School Building Requirement 639,39084,IP_05,Semi Urban
SET_0641,Energy,Delayed,63,16640230.178505754,Energy Requirement 640,58221,IP_06,Semi Urban
SET_0642,School Building,Completed Behind Schedule,88,7062679.9171037525,School Building Requirement 641,20601,IP_16,Semi Urban
SET_0643,Hospital Development,Delayed,60,58278389.41864209,Hospital Development Requirement 642,79270,IP_04,Urban
SET_0644,Road Construction,Completed Behind Schedule,85,11941388.380367793,Road Construction Requirement 643,34576,IP_16,Semi Urban
SET_0645,Hospital Development,Completed On Time,100,10425190.84307009,Hospital Development Requirement 644,28386,IP_01,Semi Rural
SET_0646,School Building,Completed On Time,100,26131118.263263747,School Building Requirement 645,81122,IP_05,Urban
SET_0647,Market Place Construction,Completed Behind Schedule,81,13386454.583084289,Market Place Construction Requirement 646,47335,IP_10,Semi Urban
SET_0648,Energy,Ongoing,59,23975443.355691247,Energy Requirement 647,86481,IP_14,Urban
SET_0649,Hospital Development,Completed On Time,100,1783802.8548009035,Hospital Development Requirement 648,9307,IP_13,Semi Rural
SET_0650,Road Construction,Completed On Time,100,18716507.688951407,Road Construction Requirement 649,69477,IP_11,Semi Urban
SET_0651,Road Construction,Delayed,76,21079623.987012833,Road Construction Requirement 650,56026,IP_12,Semi Urban
SET_0652,Hospital Development,Completed On Time,100,10959573.268813755,Hospital Development Requirement 651,26006,IP_07,Semi Urban
SET_0653,Energy,Completed On Time,100,13537173.706264611,Energy Requirement 652,40553,IP_07,Semi Rural
SET_0654,Energy,Completed On Time,100,29691551.428423572,Energy Requirement 653,87590,IP_17,Semi Urban
SET_0655,Market Place Construction,Stalled,25,16072573.38895277,Market Place Construction Requirement 654,61372,IP_15,Semi Urban
SET_0656,Market Place Construction,Completed On Time,100,4907437.025256752,Market Place Construction Requirement 655,16972,IP_20,Semi Rural
SET_0657,Market Place Construction,Completed Behind Schedule,94,40271389.18221345,Market Place Construction Requirement 656,89860,IP_10,Urban
SET_0658,Water Supply,Delayed,69,28092974.537033062,Water Supply Requirement 657,54311,IP_04,Urban
SET_0659,School Building,Ongoing,34,15376300.683347538,School Building Requirement 658,36733,IP_19,Semi Rural
SET_0660,School Building,Ongoing,58,25719940.40164501,School Building Requirement 659,65140,IP_15,Urban
SET_0661,Market Place Construction,Completed On Time,100,23353445.93895869,Market Place Construction Requirement 660,46896,IP_15,Semi Urban
SET_0662,Road Construction,Completed On Time,100,21533428.852352563,Road Construction Requirement 661,84231,IP_11,Semi Urban
SET_0663,Water Supply,Completed On Time,100,49930157.02439588,Water Supply Requirement 662,99581,IP_09,Semi Urban
SET_0664,School Building,Completed On Time,100,13217593.278145984,School Building Requirement 663,47686,IP_03,Semi Urban
SET_0665,Road Construction,Ongoing,60,4466366.293704716,Road Construction Requirement 664,11068,IP_20,Semi Urban
SET_0666,School Building,Ongoing,45,35113747.14100605,School Building Requirement 665,91071,IP_11,Urban
SET_0667,Road Construction,Delayed,75,13315630.443314122,Road Construction Requirement 666,34654,IP_17,Semi Urban
SET_0668,Road Construction,Completed On Time,100,30463955.234138437,Road Construction Requirement 667,62386,IP_07,Semi Urban
SET_0669,School Building,Ongoing,48,29794169.484193377,School Building Requirement 668,96849,IP_11,Semi Urban
SET_0670,Hospital Development,Completed On Time,100,20692047.944709085,Hospital Development Requirement 669,41130,IP_17,Semi Rural
SET_0671,School Building,Completed Behind Schedule,85,8499266.413902732,School Building Requirement 670,49443,IP_10,Semi Rural
SET_0672,Market Place Construction,Completed Behind Schedule,88,10788638.632261422,Market Place Construction Requirement 671,34065,IP_16,Semi Rural
SET_0673,Water Supply,Delayed,60,12607609.238149825,Water Supply Requirement 672,41469,IP_02,Semi Urban
SET_0674,Market Place Construction,Completed Behind Schedule,88,1878042.225236108,Market Place Construction Requirement 673,6543,IP_16,Rural
SET_0675,Market Place Construction,Delayed,68,28282879.36538815,Market Place Construction Requirement 674,73742,IP_02,Semi Urban
SET_0676,Road Construction,Completed On Time,100,2694261.7620647466,Road Construction Requirement 675,6197,IP_07,Semi Rural
SET_0677,Water Supply,Delayed,73,6467349.06771016,Water Supply Requirement 676,20053,IP_12,Semi Rural
SET_0678,Energy,Ongoing,65,3024282.9000243507,Energy Requirement 677,7135,IP_04,Semi Rural
SET_0679,Road Construction,Ongoing,67,5777112.020851606,Road Construction Requirement 678,28564,IP_16,Semi Rural
SET_0680,Hospital Development,Completed Behind Schedule,98,1618523.880375314,Hospital Development Requirement 679,6060,IP_06,Semi Rural
SET_0681,Market Place Construction,Ongoing,43,17472922.21291121,Market Place Construction Requirement 680,59255,IP_15,Urban
SET_0682,Market Place Construction,Stalled,11,8205774.951108939,Market Place Construction Requirement 681,26256,IP_08,Semi Rural
SET_0683,Hospital Development,Delayed,70,37188722.13549411,Hospital Development Requirement 682,68789,IP_19,Urban
SET_0684,Energy,Ongoing,69,48384383.68392416,Energy Requirement 683,82845,IP_05,Semi Urban
SET_0685,Road Construction,Delayed,71,21870836.401571535,Road Construction Requirement 684,49924,IP_08,Semi Rural
SET_0686,Road Construction,Completed On Time,100,9273507.008640492,Road Construction Requirement 685,33467,IP_11,Semi Rural
SET_0687,Water Supply,Completed On Time,100,6369363.882765055,Water Supply Requirement 686,15389,IP_15,Semi Rural
SET_0688,Road Construction,Delayed,57,35033006.26720691,Road Construction Requirement 687,95913,IP_03,Urban
SET_0689,Market Place Construction,Completed On Time,100,44567404.34344656,Market Place Construction Requirement 688,93868,IP_07,Urban
SET_0690,Market Place Construction,Cancelled,13,7418004.239251987,Market Place Construction Requirement 689,17626,IP_20,Semi Rural
SET_0691,Water Supply,Completed On Time,100,22036597.13242253,Water Supply Requirement 690,62269,IP_16,Urban
SET_0692,Hospital Development,Ongoing,57,13734056.682191033,Hospital Development Requirement 691,26625,IP_16,Semi Urban
SET_0693,Hospital Development,Ongoing,43,19733206.111172915,Hospital Development Requirement 692,71411,IP_11,Urban
SET_0694,Energy,Completed On Time,100,37749750.936597146,Energy Requirement 693,85577,IP_17,Urban
SET_0695,School Building,Cancelled,8,44780058.11726175,School Building Requirement 694,84163,IP_07,Urban
SET_0696,Hospital Development,Cancelled,12,50179869.32613579,Hospital Development Requirement 695,89422,IP_11,Urban
SET_0697,Hospital Development,Ongoing,45,23617065.075048562,Hospital Development Requirement 696,88460,IP_20,Semi Urban
SET_0698,Energy,Stalled,16,11309262.143402219,Energy Requirement 697,29931,IP_09,Semi Urban
SET_0699,Water Supply,Ongoing,55,43850038.198398195,Water Supply Requirement 698,86489,IP_01,Semi Urban
SET_0700,Market Place Construction,Completed On Time,100,7377685.913385442,Market Place Construction Requirement 699,28405,IP_14,Semi Rural
SET_0701,Energy,Delayed,63,18987226.184887215,Energy Requirement 700,36315,IP_10,Semi Urban
SET_0702,Hospital Development,Completed Behind Schedule,99,41280254.13205708,Hospital Development Requirement 701,96790,IP_10,Urban
SET_0703,Energy,Completed On Time,100,8967683.63495931,Energy Requirement 702,43832,IP_16,Semi Rural
SET_0704,Water Supply,Delayed,50,2563250.508133107,Water Supply Requirement 703,12569,IP_02,Semi Rural
SET_0705,Market Place Construction,Completed On Time,100,23339404.24848046,Market Place Construction Requirement 704,92024,IP_18,Semi Urban
SET_0706,Road Construction,Completed On Time,100,34692350.25557495,Road Construction Requirement 705,97444,IP_20,Urban
SET_0707,Hospital Development,Ongoing,47,26688305.95261967,Hospital Development Requirement 706,72466,IP_03,Urban
SET_0708,Hospital Development,Ongoing,46,1777205.888044721,Hospital Development Requirement 707,8354,IP_16,Rural
SET_0709,Road Construction,Completed On Time,100,12241871.425032685,Road Construction Requirement 708,37483,IP_04,Semi Rural
SET_0710,School Building,Ongoing,30,400077.9175084687,School Building Requirement 709,1692,IP_13,Rural
SET_0711,Energy,Completed On Time,100,32537206.497134443,Energy Requirement 710,87597,IP_05,Semi Urban
SET_0712,Energy,Completed Behind Schedule,84,17210299.052401684,Energy Requirement 711,41696,IP_07,Semi Rural
SET_0713,Road Construction,Completed On Time,100,5849330.853249012,Road Construction Requirement 712,18653,IP_15,Semi Urban
SET_0714,School Building,Completed Behind Schedule,97,11195497.043550145,School Building Requirement 713,23195,IP_12,Semi Urban
SET_0715,Energy,Delayed,75,38654455.845484175,Energy Requirement 714,92321,IP_04,Urban
SET_0716,Road Construction,Completed On Time,100,10467827.350085419,Road Construction Requirement 715,30793,IP_10,Semi Urban
SET_0717,Road Construction,Completed On Time,100,22737960.536082104,Road Construction Requirement 716,56798,IP_07,Urban
SET_0718,Market Place Construction,Completed Behind Schedule,92,50987565.91590736,Market Place Construction Requirement 717,79002,IP_05,Urban
SET_0719,School Building,Delayed,76,10801429.403459443,School Building Requirement 718,36892,IP_15,Semi Rural
SET_0720,Hospital Development,Completed On Time,100,10795851.227119626,Hospital Development Requirement 719,47418,IP_15,Semi Rural
SET_0721,Energy,Completed Behind Schedule,87,29545294.2548585,Energy Requirement 720,83508,IP_15,Urban
SET_0722,Market Place Construction,Completed On Time,100,18479803.05860415,Market Place Construction Requirement 721,43674,IP_03,Semi Urban
SET_0723,Road Construction,Cancelled,7,12563341.40163184,Road Construction Requirement 722,54051,IP_09,Semi Urban
SET_0724,Energy,Ongoing,30,15994107.80680659,Energy Requirement 723,45439,IP_08,Semi Urban
SET_0725,Road Construction,Completed On Time,100,6747765.730861282,Road Construction Requirement 724,37824,IP_16,Semi Rural
SET_0726,Energy,Cancelled,15,35310006.40206549,Energy Requirement 725,69472,IP_13,Urban
SET_0727,Hospital Development,Completed On Time,100,14555587.125665234,Hospital Development Requirement 726,60213,IP_19,Semi Urban
SET_0728,Hospital Development,Completed Behind Schedule,99,17972420.20395811,Hospital Development Requirement 727,47751,IP_02,Semi Urban
SET_0729,Hospital Development,Completed Behind Schedule,92,22546606.57684325,Hospital Development Requirement 728,80823,IP_18,Semi Urban
SET_0730,School Building,Completed On Time,100,37372995.2484352,School Building Requirement 729,86961,IP_13,Urban
SET_0731,School Building,Cancelled,14,48746894.555478625,School Building Requirement 730,70322,IP_09,Urban
SET_0732,Road Construction,Cancelled,19,8069414.720511323,Road Construction Requirement 731,22042,IP_01,Semi Urban
SET_0733,Hospital Development,Completed On Time,100,4862390.506723168,Hospital Development Requirement 732,14851,IP_03,Semi Urban
SET_0734,School Building,Completed Behind Schedule,85,43251756.43584428,School Building Requirement 733,99430,IP_16,Urban
SET_0735,Market Place Construction,Completed Behind Schedule,93,11411318.932327861,Market Place Construction Requirement 734,46039,IP_08,Semi Urban
SET_0736,Water Supply,Completed On Time,100,31172793.61789393,Water Supply Requirement 735,72576,IP_11,Urban
SET_0737,Hospital Development,Stalled,27,676740.4204690501,Hospital Development Requirement 736,2375,IP_07,Semi Rural
SET_0738,Hospital Development,Completed On Time,100,6690664.437151454,Hospital Development Requirement 737,22292,IP_10,Semi Rural
SET_0739,School Building,Ongoing,56,17989975.695528224,School Building Requirement 738,47511,IP_08,Semi Rural
SET_0740,Water Supply,Completed On Time,100,29687565.21673058,Water Supply Requirement 739,80436,IP_17,Urban
SET_0741,Market Place Construction,Completed On Time,100,4438787.229826636,Market Place Construction Requirement 740,24464,IP_06,Semi Rural
SET_0742,Energy,Ongoing,69,29129145.571270857,Energy Requirement 741,88980,IP_01,Urban
SET_0743,Hospital Development,Ongoing,53,17432078.897583935,Hospital Development Requirement 742,46201,IP_04,Semi Rural
SET_0744,Road Construction,Delayed,60,25651301.135309055,Road Construction Requirement 743,52628,IP_19,Urban
SET_0745,Hospital Development,Completed On Time,100,17427105.055773485,Hospital Development Requirement 744,57344,IP_01,Semi Urban
SET_0746,School Building,Delayed,67,28874880.034717005,School Building Requirement 745,84791,IP_06,Semi Urban
SET_0747,Water Supply,Ongoing,77,22273834.598914452,Water Supply Requirement 746,72289,IP_10,Semi Urban
SET_0748,Energy,Completed On Time,100,7965189.148342259,Energy Requirement 747,24283,IP_15,Semi Rural
SET_0749,Market Place Construction,Completed Behind Schedule,83,24631817.291824568,Market Place Construction Requirement 748,67727,IP_20,Urban
SET_0750,Water Supply,Ongoing,47,65615102.603144236,Water Supply Requirement 749,97502,IP_04,Urban
SET_0751,School Building,Completed On Time,100,21243755.088178527,School Building Requirement 750,74324,IP_14,Semi Urban
SET_0752,Road Construction,Stalled,19,37483505.676548325,Road Construction Requirement 751,60658,IP_12,Urban
SET_0753,Water Supply,Delayed,69,41012719.1750362,Water Supply Requirement 752,96305,IP_07,Semi Urban
SET_0754,Water Supply,Completed Behind Schedule,98,9038543.97356149,Water Supply Requirement 753,18558,IP_18,Semi Urban
SET_0755,Market Place Construction,Completed Behind Schedule,81,1167601.335494248,Market Place Construction Requirement 754,3795,IP_10,Rural
SET_0756,Energy,Completed On Time,100,22499398.423050094,Energy Requirement 755,78506,IP_05,Semi Urban
SET_0757,Hospital Development,Completed On Time,100,29803357.785736788,Hospital Development Requirement 756,92962,IP_09,Semi Urban
SET_0758,Market Place Construction,Completed Behind Schedule,82,34984076.263135746,Market Place Construction Requirement 757,61430,IP_06,Urban
SET_0759,Market Place Construction,Completed On Time,100,11495644.213564703,Market Place Construction Requirement 758,32186,IP_08,Semi Urban
SET_0760,School Building,Delayed,59,35553636.63661306,School Building Requirement 759,76483,IP_07,Semi Urban
